"(Intercept)";"pop";"scale(log(FGM1), scale = F)";"scale(mass1, scale = F)";"scale(quali_coh, scale = F)";"sex";"pop:scale(log(FGM1), scale = F)";"pop:scale(quali_coh, scale = F)";"pop:sex";"scale(log(FGM1), scale = F):scale(mass1, scale = F)";"scale(log(FGM1), scale = F):scale(quali_coh, scale = F)";"scale(log(FGM1), scale = F):sex";"scale(quali_coh, scale = F):sex";"pop:scale(log(FGM1), scale = F):scale(quali_coh, scale = F)";"pop:scale(log(FGM1), scale = F):sex";"pop:scale(quali_coh, scale = F):sex";"scale(log(FGM1), scale = F):scale(quali_coh, scale = F):sex";"pop:scale(log(FGM1), scale = F):scale(quali_coh, scale = F):sex";"df";"logLik";"AICc";"delta";"weight"
-0.362002177563129;NA;-0.152731226927043;-0.175273156910213;0.246420890156324;NA;NA;NA;NA;NA;-0.169433496855585;NA;NA;NA;NA;NA;NA;NA;7;-188.714743275046;392.660255780861;6.55567486329841;0.00289873760710007
0.251284090728444;"+";-0.338011028138728;-0.210329452194225;NA;"+";"+";NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;9;-186.321763251629;392.66599841337;6.56141749580712;0.00289042635252202
0.847884694919127;"+";0.0696314768846077;NA;-0.611803979981891;"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-187.550770209851;392.701540419703;6.59695950214001;0.00283951429568546
0.0578856711354247;"+";-0.131895078389098;-0.203687959136002;NA;"+";NA;NA;NA;0.011572067103481;NA;NA;NA;NA;NA;NA;NA;NA;8;-187.583481854802;392.766963709605;6.66238279204219;0.00274813189504625
-0.307964278751804;"+";NA;-0.144411344621902;0.307670089078061;"+";NA;"+";"+";NA;NA;NA;"+";NA;NA;"+";NA;NA;11;-183.931564685037;392.897612128695;6.7930312111323;0.00257435021969204
0.68082405721229;"+";NA;NA;-0.474737021687115;"+";NA;"+";"+";NA;NA;NA;"+";NA;NA;NA;NA;NA;9;-186.46804647586;392.958564861832;6.85398394426892;0.00249707686518298
0.488388438942109;"+";0.0288384486408291;NA;-0.505045216113168;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-188.866344552677;392.963458336124;6.85887741856129;0.00249097464277144
0.347517152951892;"+";-0.101694338689627;-0.169847326693681;-0.178210077386152;"+";NA;NA;NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;9;-186.490156153034;393.002784216181;6.89820329861811;0.00244247316129128
0.533481374654606;"+";-0.0119364106973356;NA;-0.378099014559191;"+";NA;"+";"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;9;-186.490986246231;393.004444402574;6.89986348501139;0.00244044652220315
0.0588173532480785;"+";-0.253956131795046;-0.177569618024792;-0.00957704989953926;"+";NA;"+";NA;NA;-0.0964255695336418;NA;NA;NA;NA;NA;NA;NA;10;-185.269176682411;393.038353364822;6.93377244725957;0.00239941880235426
0.249015944660764;"+";-0.247620087044175;-0.205448616477935;NA;"+";NA;NA;"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;9;-186.509308311918;393.041088533949;6.93650761638656;0.00239613963701783
-0.355015752057242;NA;0.0593122517676123;NA;0.0567728896023741;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-191.222534870381;393.090231031085;6.98565011352213;0.00233798093640021
0.0989826014227723;"+";-0.198875370972987;-0.176943023896076;-0.0415020807911558;"+";NA;"+";NA;0.0646690939944254;NA;NA;NA;NA;NA;NA;NA;NA;10;-185.308236582335;393.116473164669;7.01189224710669;0.00230750451121976
-0.123289776813511;"+";-0.188112522583221;NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-190.105662119798;393.124367717857;7.0197868002939;0.00229841410564867
-0.373959531248129;NA;NA;NA;0.0589439845239009;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-191.240112183817;393.125385657957;7.02080474039406;0.00229724457935839
0.486245061876185;"+";-0.244321728828046;-0.150380623333488;-0.367444480641935;"+";NA;NA;NA;0.286023799651128;-0.435357977850247;NA;NA;NA;NA;NA;NA;NA;10;-185.327252740153;393.154505480307;7.04992456274414;0.00226403922246011
-0.337902556338679;"+";NA;NA;0.199840008183147;"+";NA;"+";"+";NA;NA;NA;"+";NA;NA;"+";NA;NA;10;-185.331749772332;393.163499544663;7.05891862710081;0.00225388062411554
0.0426585038884677;"+";-0.353773869912492;-0.177300158769314;-0.000967465875347254;"+";NA;"+";NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;10;-185.331753905292;393.163507810583;7.05892689302078;0.00225387130893636
0.0726141882892488;"+";-0.351119762897138;-0.181738873218725;-0.015954068321069;"+";"+";"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;-185.337908568434;393.175817136868;7.07123621930526;0.00224004209100689
0.564040558542423;"+";-0.341750412435148;-0.15019540332222;-0.390612000134726;NA;"+";NA;NA;0.289744956783862;-0.370937151240501;NA;NA;NA;NA;NA;NA;NA;10;-185.343621355603;393.187242711206;7.08266179364307;0.00222728169072105
