"(Intercept)";"pop";"scale(log(FGM1), scale = F)";"scale(mass1, scale = F)";"scale(quali_coh, scale = F)";"sex";"pop:scale(log(FGM1), scale = F)";"pop:scale(quali_coh, scale = F)";"pop:sex";"scale(log(FGM1), scale = F):scale(mass1, scale = F)";"scale(log(FGM1), scale = F):scale(quali_coh, scale = F)";"scale(log(FGM1), scale = F):sex";"scale(quali_coh, scale = F):sex";"pop:scale(log(FGM1), scale = F):scale(quali_coh, scale = F)";"pop:scale(log(FGM1), scale = F):sex";"pop:scale(quali_coh, scale = F):sex";"scale(log(FGM1), scale = F):scale(quali_coh, scale = F):sex";"pop:scale(log(FGM1), scale = F):scale(quali_coh, scale = F):sex";"df";"logLik";"AICc";"delta";"weight"
0.0798594979893646;"+";-0.198383337222896;-0.186984729845755;-0.0148802851612679;NA;"+";"+";NA;NA;0.057982413875022;NA;NA;"+";NA;NA;NA;NA;11;-117.751107007689;261.902214015377;12.3771460485459;0.000274452938299272
-0.0150423585953705;"+";-0.0659084695760555;-0.191733615162605;-0.0586770591332539;"+";"+";NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;10;-119.148925218854;261.904407814756;12.3793398479251;0.000274152056005458
0.0969176394522952;"+";0.0631661794653101;-0.193375591471453;-0.0601934676280503;"+";NA;NA;"+";NA;0.0671915669060673;NA;NA;NA;NA;NA;NA;NA;10;-119.155060622906;261.916678622861;12.3916106560293;0.000272475171811453
0.0084744962125496;"+";0.0174784597748452;-0.195274244878019;-0.0013551780729851;"+";NA;"+";"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;10;-119.175703220492;261.957963818032;12.4328958512009;0.000266908232213729
-0.425371533742367;NA;-0.0518667702745923;-0.193475129668594;0.144063709489471;"+";NA;NA;NA;-0.122220392630918;0.0850963383984109;"+";NA;NA;NA;NA;NA;NA;10;-119.201676742535;262.009910862119;12.4848428952875;0.000260064942248401
0.0884694888784321;"+";NA;NA;-0.166347409898224;"+";NA;"+";NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;8;-121.864490507628;262.01469530097;12.4896273341384;0.000259443553387265
-0.0694215140500345;"+";-0.177445083632596;-0.198604049350722;-0.0159398134595286;"+";"+";"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;-119.223074172191;262.052705721431;12.5276377546;0.00025455933393418
-0.409572075962466;NA;0.0328360314021536;-0.189876694586368;0.143529861353432;"+";NA;NA;NA;-0.0921000135013039;0.0762713540066061;NA;"+";NA;NA;NA;NA;NA;10;-119.223223962995;262.053005303039;12.5279373362072;0.000254521206142656
0.0645067910332644;"+";-0.160482857418971;-0.195907180001093;-0.0678387761497119;"+";"+";NA;NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;10;-119.230773816897;262.068105010843;12.5430370440119;0.000252606843892146
-0.0475487686221708;"+";0.14689907678249;-0.189856858288929;-0.0444289032848481;"+";NA;NA;NA;NA;0.0542283817622492;"+";NA;NA;NA;NA;NA;NA;10;-119.240456344218;262.087470065485;12.5624020986536;0.000250172774214216
-0.0171198633535449;"+";0.118362703183979;-0.189257833441194;-0.0352303642096271;"+";NA;NA;NA;NA;NA;"+";"+";NA;NA;NA;NA;NA;10;-119.253408028299;262.113373433647;12.5883054668156;0.000246953507938301
-0.114166582217299;"+";0.113709284884699;-0.190990047722332;-0.00159001188424861;"+";NA;"+";NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;10;-119.25957455394;262.125706484929;12.6006385180978;0.000245435348494809
-0.0358543730408405;"+";-0.771638540798103;-0.222531187130865;0.0262826145733079;"+";"+";NA;NA;NA;0.566749503305425;NA;"+";NA;NA;NA;NA;NA;11;-117.867091819165;262.13418363833;12.6091156714989;0.000244397253521925
0.01822066264049;"+";0.0686252574584619;-0.193771363889789;-0.0445913980670684;"+";NA;NA;NA;NA;0.0672885976947341;NA;"+";NA;NA;NA;NA;NA;10;-119.280441254134;262.167439885318;12.6423719184865;0.000240366986558999
0.0131648127929319;"+";-0.802242399010166;-0.221431273985889;-0.0337425116737141;"+";"+";"+";NA;NA;0.589234235137951;NA;NA;NA;NA;NA;NA;NA;11;-117.891388588071;262.182777176141;12.6577092093101;0.000238530747103813
-0.0788241622277576;"+";0.0241200297412873;-0.195896564200931;0.022776216814091;"+";NA;"+";NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;10;-119.294283021988;262.195123421025;12.6700554541941;0.000237062803156253
-0.0580347523041554;"+";-0.756476016587455;-0.221210439854856;0.00914999281344515;"+";"+";NA;NA;NA;0.561074862672503;"+";NA;NA;NA;NA;NA;NA;11;-117.903533936191;262.207067872382;12.681999905551;0.00023565122990844
-0.0737775542830445;"+";0.0548298734390081;-0.195193124083989;-0.0209216517737266;"+";NA;"+";NA;NA;0.0581037697343665;NA;NA;NA;NA;NA;NA;NA;10;-119.309884550019;262.226326477087;12.7012585102555;0.000233392963182024
-0.415182096846644;NA;-0.064604966322188;-0.189750225481075;0.140023126605596;"+";NA;NA;NA;-0.108654864437918;NA;"+";"+";NA;NA;NA;NA;NA;10;-119.316334717414;262.239226811877;12.7141588450452;0.000231892384196128
0.0540142506453709;"+";-0.808741889487889;-0.186066724883824;-0.0148435003620734;NA;"+";"+";NA;-0.0662060219287198;0.615573773914662;NA;NA;NA;NA;NA;NA;NA;11;-117.96451947698;262.329038953959;12.8039709871281;0.000221709359298996
-0.00611601460948618;"+";-0.144011935745446;-0.153027940396416;0.00052842100353939;NA;"+";"+";NA;-0.0711096730138358;NA;NA;NA;NA;NA;NA;NA;NA;10;-119.427050985853;262.460659348754;12.9355913819229;0.000207588371216277
-0.0207994197468096;"+";0.0743720210171719;-0.153660658983468;-0.00306544464783938;NA;NA;"+";NA;-0.07039117189831;0.0742927490005136;NA;NA;NA;NA;NA;NA;NA;10;-119.447743463377;262.502044303803;12.9769763369718;0.000203336991000095
-0.360774911578069;NA;0.196468930451819;-0.181494246953951;0.138216850163473;"+";NA;NA;NA;NA;0.0665424796240108;"+";"+";NA;NA;NA;NA;NA;10;-119.454876151606;262.516309680261;12.9912417134292;0.000201891811771349
0.0184659486945347;"+";-1.1080982356725;-0.261265046167619;NA;"+";"+";NA;"+";-0.176685387118745;NA;"+";NA;NA;"+";NA;NA;NA;12;-116.720885656602;262.729906906425;13.2048389395938;0.000181441512310908
0.0741359761389093;"+";-0.390467393821005;NA;-0.159338643607626;"+";"+";NA;NA;NA;0.414819894964994;NA;NA;NA;NA;NA;NA;NA;9;-120.927430847903;262.758087502257;13.2330195354261;0.000178902874430985
0.0964350038436488;"+";-0.382398017027975;NA;-0.228788207221646;NA;"+";"+";NA;NA;0.402050183320239;NA;NA;NA;NA;NA;NA;NA;9;-121.033180024272;262.969585854996;13.444517888165;0.000160950019880725
0.481350005130186;"+";0.104189222191932;NA;-0.362858143632406;"+";NA;NA;"+";NA;NA;NA;"+";NA;NA;NA;NA;NA;9;-121.189329466568;263.281884739588;13.7568167727567;0.000137681691693753
0.10100295250373;"+";-0.173302617464489;-0.239661853255475;-0.0652798816653021;"+";NA;NA;NA;NA;-0.397132808829624;"+";"+";NA;NA;NA;"+";NA;12;-117.028285323534;263.344706240289;13.8196382734576;0.000133424221654138
0.581179243979729;"+";NA;NA;-0.425550324510228;"+";NA;"+";"+";NA;NA;NA;"+";NA;NA;NA;NA;NA;9;-121.254386453305;263.411998713062;13.8869307462302;0.000129009681538728
0.2477319607542;"+";-0.0840961622896757;-0.191829497606925;-0.189794549121132;"+";NA;NA;"+";-0.0951243692746549;NA;NA;"+";NA;NA;NA;NA;NA;11;-118.558254361384;263.516508722769;13.9914407559373;0.000122441387657429
0.121605299569654;"+";0.297805192375403;NA;-0.154853927531234;"+";NA;NA;"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;9;-121.337571643387;263.578369093226;14.053301126395;0.000118712222044725
0.0442949233840582;"+";0.168591069250622;NA;-0.166667269113073;"+";"+";NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;9;-121.411272155679;263.72577011781;14.2007021509787;0.00011027770219716
-0.115992151969962;"+";0.204470302457303;NA;NA;"+";"+";NA;"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;9;-121.436536552036;263.776298910523;14.2512309436916;0.000107526502654398
0.0210007132972815;"+";0.32145821282249;NA;-0.156103727252855;"+";NA;NA;NA;NA;0.037059593781854;"+";NA;NA;NA;NA;NA;NA;9;-121.460814382744;263.82485457194;14.2997866051091;0.000104947426293091
0.0422356073467567;"+";0.301770412804549;NA;-0.14751087906119;"+";NA;NA;NA;NA;NA;"+";"+";NA;NA;NA;NA;NA;9;-121.462572909797;263.828371626046;14.3033036592145;0.000104763035580391
0.176532120443405;"+";-0.67239566320798;-0.237713729191112;-0.0524597747910256;"+";"+";NA;"+";NA;NA;"+";NA;NA;"+";NA;NA;NA;12;-117.272808365073;263.833752323366;14.3086843565343;0.000104481565284398
