(Intercept);pop;scale(log(FGMngg), scale = F);scale(rel_cohort_quality, scale = F);sexe;pop:scale(log(FGMngg), scale = F);pop:scale(rel_cohort_quality, scale = F);pop:sexe;scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F);scale(log(FGMngg), scale = F):sexe;scale(rel_cohort_quality, scale = F):sexe;pop:scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F);pop:scale(log(FGMngg), scale = F):sexe;pop:scale(rel_cohort_quality, scale = F):sexe;scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F):sexe;pop:scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F):sexe;df;logLik;AICc;delta;weight
-0,096007197;+;-0,457731436;1,146001242;NA;NA;+;NA;0,163870364;NA;NA;NA;NA;NA;NA;NA;7;-782,87;1580,05;4,05;0,02
-0,127821432;NA;-0,068372623;1,145771258;+;NA;NA;NA;-0,64697317;+;+;NA;NA;NA;+;NA;9;-780,78;1580,07;4,07;0,02
-0,062386854;NA;-0,415370583;0,9903019;+;NA;NA;NA;NA;NA;+;NA;NA;NA;NA;NA;6;-783,92;1580,08;4,08;0,02
-0,075137132;+;-0,174164284;1,023925569;+;NA;NA;NA;NA;+;NA;NA;NA;NA;NA;NA;7;-782,93;1580,17;4,17;0,02
-0,047532465;NA;-0,180750505;1,016630195;+;NA;NA;NA;0,032911987;+;NA;NA;NA;NA;NA;NA;7;-782,95;1580,21;4,21;0,02
-0,051876215;NA;-0,173160671;1,031078533;+;NA;NA;NA;NA;+;+;NA;NA;NA;NA;NA;7;-782,96;1580,23;4,23;0,02
-0,115372136;+;-0,447920592;1,158281884;+;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-783,09;1580,5;4,5;0,02
-0,100501499;+;-0,45842731;1,155625137;NA;+;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-783,1;1580,51;4,51;0,02
-0,093874819;+;-0,211336303;1,159392154;+;NA;+;NA;NA;+;NA;NA;NA;NA;NA;NA;8;-782,11;1580,61;4,61;0,02
-0,118840911;+;NA;1,080124819;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;-786,58;1581,27;5,27;0,01
-0,045433007;NA;NA;1,075477021;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;-786,71;1581,53;5,53;0,01
-0,091679855;+;-0,472745639;1,015431236;NA;+;NA;NA;0,092866342;NA;NA;NA;NA;NA;NA;NA;7;-783,76;1581,83;5,83;0,01
-0,09161354;+;-0,41232244;1,010052501;+;NA;NA;NA;0,093218687;NA;NA;NA;NA;NA;NA;NA;7;-783,81;1581,93;5,94;0,01
-0,136880523;+;-0,410814992;1,028737218;+;NA;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;7;-783,82;1581,95;5,96;0,01
-0,09679594;+;-0,469196969;1,030196026;+;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-783,84;1581,99;5,99;0,01
-0,126853217;+;-0,170943802;1,028973293;+;NA;NA;+;NA;+;NA;NA;NA;NA;NA;NA;8;-782,81;1582,03;6,03;0,01
-0,052830668;NA;-0,419539619;0,977859814;+;NA;NA;NA;0,078263748;NA;+;NA;NA;NA;NA;NA;7;-783,86;1582,04;6,04;0,01
-0,092969296;+;-0,410101282;0,997844678;+;NA;NA;NA;NA;NA;+;NA;NA;NA;NA;NA;7;-783,88;1582,06;6,06;0,01
-0,074773628;+;-0,250453999;1,031169481;+;+;NA;NA;NA;+;NA;NA;NA;NA;NA;NA;8;-782,83;1582,06;6,07;0,01
-0,153363778;+;-0,067559059;1,150059518;+;NA;NA;NA;-0,635815513;+;+;NA;NA;NA;+;NA;10;-780,75;1582,11;6,11;0,01
-0,108748847;+;-0,45945474;1,148037673;+;NA;+;NA;0,163340793;NA;NA;NA;NA;NA;NA;NA;8;-782,86;1582,12;6,13;0,01
-0,095707796;+;-0,464180784;1,145813914;NA;+;+;NA;0,163457392;NA;NA;NA;NA;NA;NA;NA;8;-782,87;1582,14;6,14;0,01
