"(Intercept)";"pop";"scale(log(mean_fgm), scale = F)";"scale(mass1, scale = F)";"scale(quali_coh, scale = F)";"sex";"pop:scale(log(mean_fgm), scale = F)";"pop:scale(quali_coh, scale = F)";"pop:sex";"scale(log(mean_fgm), scale = F):scale(mass1, scale = F)";"scale(log(mean_fgm), scale = F):scale(quali_coh, scale = F)";"scale(log(mean_fgm), scale = F):sex";"scale(quali_coh, scale = F):sex";"pop:scale(log(mean_fgm), scale = F):scale(quali_coh, scale = F)";"pop:scale(log(mean_fgm), scale = F):sex";"pop:scale(quali_coh, scale = F):sex";"scale(log(mean_fgm), scale = F):scale(quali_coh, scale = F):sex";"pop:scale(log(mean_fgm), scale = F):scale(quali_coh, scale = F):sex";"df";"logLik";"AICc";"delta";"weight"
-0.291977642269389;NA;NA;NA;0.0218090749233869;"+";NA;NA;NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;6;-93.072309286936;200.011285240539;7.1684607876131;0.00233621918494151
0.0638227507177151;"+";-0.472311864925603;-0.201627454190691;0.0134793204154379;NA;NA;NA;NA;NA;0.0980113205131865;NA;NA;NA;NA;NA;NA;NA;8;-90.4568417128361;200.262520634975;7.41969618204902;0.00206043307752988
-0.0284527217261323;"+";-0.544130020915491;-0.2024575782924;0.0830924092234632;NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-90.4677023220842;200.284241853471;7.44141740054519;0.00203817659722838
0.138220197153945;"+";-0.565829031074888;-0.200302572339252;-0.0132813898426821;NA;NA;NA;NA;0.0063289588708387;NA;NA;NA;NA;NA;NA;NA;NA;8;-90.5176488665679;200.384134942438;7.54131048951257;0.00193887719252365
-0.356523802503397;"+";-4.26672780036717;-0.393790862292147;0.245808185455054;"+";"+";NA;NA;NA;1.51813713895309;"+";NA;NA;NA;NA;NA;NA;11;-85.9031726185403;200.406345237081;7.56352078415512;0.0019174647896623
-0.0248562933055179;"+";-0.599134365362394;-0.314710290798273;0.0333122977778182;"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;9;-89.1587050283072;200.603124342329;7.7602998894032;0.00173779025690641
0.0316374181278274;"+";-0.603321399784885;-0.311761802000008;NA;"+";NA;NA;"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;9;-89.1633457552155;200.612405796145;7.76958134321984;0.00172974433081301
0.0297570358894995;"+";-0.587710176172897;-0.312000267849715;NA;"+";NA;NA;"+";-0.000991838305199807;NA;NA;NA;NA;NA;NA;NA;NA;9;-89.1640482756795;200.613810837073;7.77098638414776;0.00172852957676795
-0.374567736832449;NA;-0.45549496380576;-0.199634397950425;0.203314604992574;NA;NA;NA;NA;-0.0108764402337589;0.144472298813689;NA;NA;NA;NA;NA;NA;NA;8;-90.6689500120841;200.68673723347;7.84391278054497;0.00166663711609954
-0.231081312492839;"+";-0.596469932333453;-0.318891359316982;0.103695580355698;"+";NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;-89.2135549966823;200.712824279079;7.86999982615333;0.00164503945784956
-0.0910286201426468;"+";-0.598809688909406;-0.317864852901084;0.0435654083865091;"+";NA;NA;NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;9;-89.2279680821756;200.741650450066;7.89882599714002;0.00162149941335076
-0.132762480633965;"+";-3.57206914421;-0.259184836284645;0.202617166818534;NA;"+";NA;NA;0.144462144902982;1.36984963345201;NA;NA;NA;NA;NA;NA;NA;10;-87.6903684751251;200.746590608787;7.90376615586132;0.00161749912366694
-0.121238006201231;"+";-0.573668468518969;-0.31724862324162;0.0331072680478661;"+";NA;NA;NA;NA;0.0436173615457214;NA;NA;NA;NA;NA;NA;NA;9;-89.2386237042735;200.762961694261;7.92013724133579;0.00160431305664583
-0.0529372183179457;"+";-0.682114318703588;-0.32009874897961;NA;"+";NA;NA;NA;-0.0433043409382525;NA;"+";NA;NA;NA;NA;NA;NA;9;-89.239038901623;200.76379208896;7.92096763603473;0.00160364708838069
-0.104237212954944;"+";-0.607504966819949;-0.320442270233777;0.028511304206715;"+";NA;NA;NA;-0.0159503089386179;NA;NA;NA;NA;NA;NA;NA;NA;9;-89.2458769938901;200.777468273495;7.93464382056905;0.00159271860918508
-0.0924542785486209;"+";-0.61419936929492;-0.318280838609168;0.0229654264988116;"+";NA;NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;9;-89.2512511370587;200.788216559832;7.94539210690621;0.00158418207018902
-0.516112890557646;NA;-0.424116564504713;-0.205829477882554;NA;"+";NA;NA;NA;0.0144308079414595;NA;"+";NA;NA;NA;NA;NA;NA;8;-90.7706947118445;200.890226632991;8.04740218006575;0.00150540684941976
-0.323737340200299;"+";-3.75675236598927;-0.384320502561283;0.233030031090589;"+";"+";NA;NA;0.127443290492376;1.33941928255941;NA;NA;NA;NA;NA;NA;NA;11;-86.1866604554738;200.973320910948;8.13049645802198;0.00144414298338032
-0.650273343342463;NA;-0.540704119061243;-0.304302296926776;0.287301627877051;"+";NA;NA;NA;NA;0.105606542832433;NA;"+";NA;NA;NA;NA;NA;9;-89.5762928646551;201.438300015025;8.59547556209898;0.00114456711782969
-0.665458979389663;NA;-0.543639881631877;-0.309670712944777;0.270842926421093;"+";NA;NA;NA;-0.0332146742658712;0.105916294040157;NA;NA;NA;NA;NA;NA;NA;9;-89.5811152553762;201.447944796467;8.60512034354124;0.00113906085532644
-0.311753925852937;"+";-3.3201724252475;-0.388156510112296;0.25730215990458;"+";"+";NA;"+";NA;1.19206660208975;NA;NA;NA;NA;NA;NA;NA;11;-86.4296687869007;201.459337573801;8.61651312087579;0.00113259076754176
-0.657013340912763;NA;-0.541973748544973;-0.305557768527419;0.26710341780403;"+";NA;NA;NA;NA;0.100534709395138;"+";NA;NA;NA;NA;NA;NA;9;-89.6033739270986;201.492462139911;8.64963768698593;0.00111398696465312
0.157354335794223;"+";-0.698884256442611;NA;-0.201531295242462;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-92.4781470041501;201.501748553755;8.65892410082932;0.00110882648253271
-0.178775306039585;"+";-3.09655088167942;-0.263412911016811;0.214269171218079;NA;"+";"+";NA;NA;1.20992567213423;NA;NA;NA;NA;NA;NA;NA;10;-88.0931301085878;201.552113875712;8.70928942278658;0.00108125193855731
-0.65227500922307;NA;-0.63395841863132;-0.309049941997027;0.290345069509982;"+";NA;NA;NA;-0.0241061488206242;NA;NA;"+";NA;NA;NA;NA;NA;9;-89.6436044071995;201.572923100113;8.73009864718767;0.001070060254973
-0.647755062585777;NA;-0.587772766275139;-0.306796508496162;0.290466566079611;"+";NA;NA;NA;NA;NA;"+";"+";NA;NA;NA;NA;NA;9;-89.6457829712992;201.577280228313;8.73445577538723;0.00106773159760261
