"(Intercept)";"pop";"scale(log(FGMngg), scale = F)";"scale(rel_cohort_quality, scale = F)";"sexe";"pop:scale(log(FGMngg), scale = F)";"pop:scale(rel_cohort_quality, scale = F)";"pop:sexe";"scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F)";"scale(log(FGMngg), scale = F):sexe";"scale(rel_cohort_quality, scale = F):sexe";"pop:scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F)";"pop:scale(log(FGMngg), scale = F):sexe";"pop:scale(rel_cohort_quality, scale = F):sexe";"scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F):sexe";"pop:scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F):sexe";"df";"logLik";"AICc";"delta";"weight"
-0.194697685604761;"+";-0.173316159869201;0.108116639649202;"+";NA;"+";NA;0.0951688156624099;"+";"+";NA;NA;NA;NA;NA;12;-1274.09130706787;2572.66859544416;7.67991662056875;0.0015175420899455
-0.194307729956198;"+";-0.177691692735324;0.101952336645809;"+";"+";"+";NA;0.0966208150058447;"+";NA;NA;NA;NA;NA;NA;12;-1274.09131294887;2572.66860720615;7.67992838256305;0.00151753316531104
-0.22741063605766;"+";-0.221939667896337;0.266057857927801;"+";NA;NA;"+";0.0707214079214006;NA;"+";NA;NA;NA;NA;NA;11;-1275.15547677788;2572.72152898344;7.73285015985221;0.00147790450621177
-0.228305120243771;"+";-0.21951511477713;0.255562867320117;"+";"+";NA;"+";0.0700985715855514;NA;NA;NA;NA;NA;NA;NA;11;-1275.15872076157;2572.72801695083;7.7393381272409;0.00147311797600235
-0.186388703042355;"+";-0.246156563473594;0.0801457762582078;"+";"+";"+";NA;0.184441958439327;NA;NA;"+";NA;NA;NA;NA;12;-1274.15310238633;2572.79218608108;7.80350725748895;0.00142660380990819
-0.192865322986935;"+";-0.155147012112981;0.287263810861446;"+";"+";NA;NA;NA;"+";"+";NA;NA;NA;NA;NA;11;-1275.20538254822;2572.82134052412;7.8326617005373;0.0014059587296786
-0.192840328122323;"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-1280.36965777983;2572.86894518928;7.88026636569521;0.00137288876485687
-0.185651346877825;"+";-0.218494926163976;0.27112295133938;"+";"+";NA;NA;0.0692791816998456;NA;"+";NA;NA;NA;NA;NA;11;-1275.25528827437;2572.92115197642;7.93247315283043;0.00133751540009129
-0.221994536707995;"+";NA;0.267325829790827;"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;8;-1278.36129457424;2572.94549936519;7.95682054160625;0.00132133160452987
-0.231705816245907;"+";-0.229622185736865;0.100472646298387;"+";"+";"+";"+";0.0984002764361369;NA;NA;NA;NA;NA;NA;NA;12;-1274.23508307617;2572.95614746074;7.96746863715771;0.00131431546564207
