(Intercept);pop;scale(log(fgm1), scale = F);scale(rel_cohort_quality, scale = F);sexe;pop:scale(log(fgm1), scale = F);pop:scale(rel_cohort_quality, scale = F);pop:sexe;scale(log(fgm1), scale = F):scale(rel_cohort_quality, scale = F);scale(log(fgm1), scale = F):sexe;scale(rel_cohort_quality, scale = F):sexe;pop:scale(log(fgm1), scale = F):scale(rel_cohort_quality, scale = F);pop:scale(log(fgm1), scale = F):sexe;pop:scale(rel_cohort_quality, scale = F):sexe;scale(log(fgm1), scale = F):scale(rel_cohort_quality, scale = F):sexe;pop:scale(log(fgm1), scale = F):scale(rel_cohort_quality, scale = F):sexe;df;logLik;AICc;delta;weight
0.116744642529788;+;0.226970327596326;0.240514523803094;+;NA;NA;+;0.509764742730352;+;NA;NA;NA;NA;NA;NA;11;-650.757434232067;1324.30766125693;7.4133004823077;0.00309238963911886
0.0868723547534708;+;-0.0477695062426672;0.371003158320801;+;+;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;10;-651.874190775451;1324.40706418563;7.51270341101235;0.0029424503119529
0.100201152236232;NA;0.0114782335715805;0.352876300903251;+;NA;NA;NA;0.454126629953318;NA;+;NA;NA;NA;NA;NA;9;-652.942671550714;1324.42265653426;7.52829575964483;0.00291959964603057
0.0529380672364348;+;0.430766983808922;0.384836179786155;+;+;NA;+;NA;+;NA;NA;+;NA;NA;NA;12;-649.747181324704;1324.43412168555;7.53976091093386;0.00290291070123049
0.133550974286001;+;0.0274381907398004;0.233851298682114;+;+;NA;+;0.549627578991806;NA;NA;NA;NA;NA;NA;NA;11;-650.830156102196;1324.45310499718;7.55874422256488;0.00287548762308278
-0.174260782536407;+;-0.12296395622225;0.400133555350076;NA;+;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;-652.98805761325;1324.51342865934;7.61906788471606;0.00279005256685013
-0.0676840426896263;+;0.226529092867552;0.274077499130826;+;NA;NA;NA;0.467093068152267;+;NA;NA;NA;NA;NA;NA;10;-651.994163513938;1324.64700966261;7.75264888798733;0.00260979046156134
-0.087757979421783;+;-0.0973235046923882;0.393629855929673;+;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;-653.062139257858;1324.66159194855;7.7672311739318;0.00259083130712154
0.0712179017081746;+;0.0270806640190545;0.506841097714369;+;NA;NA;+;NA;NA;+;NA;NA;NA;NA;NA;10;-652.014122069564;1324.68692677386;7.79256599923974;0.00255821916962556
-0.0694524624244899;+;-0.142381342890254;NA;+;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-654.140099289799;1324.70877000817;7.81440923354921;0.00253043129971024
